id,réf,nom,epoque,epoque2,sexe,couleur_dominante,couleurs_autres,type,voile,quantite,lieu,bijoux
280,COI/280,chapeau femme orange sur le coté ,,,,jaune,orange marron,,non,1,BCOI14,sans_bijoux
281,COI/281,chapeau femme jaune avec cerises ,,,,jaune,rose vert,,non,1,BCOI14,sans_bijoux
282,COI/282,chapeau femme paille violet foncé ,,,,jaune,rose violet,,non,1,BCOI14,sans_bijoux
283,COI/283,chapeau paille femme violet clair avec ruban,,,,jaune,violet,,non,1,BCOI14,sans_bijoux
284,COI/284,chapeau marron avec bijou,,,,marron,or ,,non,1,BCOI10,avec_bijoux
285,COI/285,masque de cyrano de bergerac rouge,,,,rouge,,,non,12,BMASQ1,sans_bijoux
286,COI/286,masque de cyrano de bergerac vert,,,,vert,,,non,13,BMASQ1,sans_bijoux
287,COI/287,masque de cyrano de bergerac noir,,,,noir,,,non,12,BMASQ1,sans_bijoux
288,COI/288,masque d’ours vert,,,,vert,,,non,2,BMASQ1,sans_bijoux
289,COI/289,masque de cochon marron ,,,,marron,,,non,1,BMASQ1,sans_bijoux
290,COI/290,masque d’ours marron,,,,marron,,,non,1,BMASQ1,sans_bijoux
291,COI/291,masque de lion marron,,,,marron,,,non,1,BMASQ1,sans_bijoux
292,COI/292,masque d’ours noir,,,,noir,,,non,1,BMASQ1,sans_bijoux
293,COI/293,masque de cochon rouge,,,,rouge,,,non,3,BMASQ1,sans_bijoux
294,COI/294,masque souris / lapin noir ,,,,noir,,,non,2,BMASQ1,sans_bijoux
295,COI/295,masque de souris marron ,,,,marron,,,non,1,BMASQ1,sans_bijoux
